Onderwerpen, Totale oppervlakte, Agrarisch terrein
Dinkelland, 2008, 17681, 14338
Dinkelland, 2010, 17681, 14295
Dinkelland, 2012, 17683, 14280
Dinkelland, 2015, 17683, 14268
Doesburg, 1996, 1290, 767
Doesburg, 2000, 1290, 764
Doesburg, 2003, 1290, 749
Doesburg, 2006, 1290, 755
Doesburg, 2008, 1290, 756
Doesburg, 2010, 1290, 755
Doesburg, 2012, 1296, 737
Doesburg, 2015, 1296, 737
Doetinchem, 1996, 5277, 3027
Doetinchem, 2000, 5277, 2940
Doetinchem, 2003, 5277, 2930
Doetinchem, 2006, 7967, 5099
Doetinchem, 2008, 7967, 5089
Doetinchem, 2010, 7967, 5074
Doetinchem, 2012, 7966, 5009
Doetinchem, 2015, 7966, 4968
Dongen, 1996, 2472, 1642
Dongen, 2000, 2972, 2079
Dongen, 2003, 2972, 2067
Dongen, 2006, 2972, 2050
Dongen, 2008, 2972, 2042
Dongen, 2010, 2972, 2025
Dongen, 2012, 2972, 2022
Dongen, 2015, 2974, 2013
Dongeradeel, 1996, 26694, 14341
Dongeradeel, 2000, 26694, 14142
Dongeradeel, 2003, 26694, 14096
Dongeradeel, 2006, 26694, 14072
Dongeradeel, 2008, 26694, 14022
Dongeradeel, 2010, 26694, 14005
Dongeradeel, 2012, 26692, 13985
Dongeradeel, 2015, 26692, 14011
Dordrecht, 1996, 9945, 3563
Dordrecht, 2000, 9945, 3342
Dordrecht, 2003, 9945, 3105
Dordrecht, 2006, 9945, 3046
Dordrecht, 2008, 9945, 3062
Dordrecht, 2010, 9945, 2984
Dordrecht, 2012, 9947, 2789
Dordrecht, 2015, 9947, 2785
Drechterland, 1996, 2408, 2097
Drechterland, 2000, 2407, 2089
Drechterland, 2003, 2408, 2059
Drechterland, 2006, 8072, 5212
Drechterland, 2008, 8072, 5154
Drechterland, 2010, 8072, 5135
Drechterland, 2012, 8074, 5090
Drechterland, 2015, 8059, 5082
Drimmelen, 1996, NaN, NaN
Drimmelen, 2000, 11920, 7216
Drimmelen, 2003, 11920, 7026
Drimmelen, 2006, 11920, 7035
Drimmelen, 2008, 11937, 7036
Drimmelen, 2010, 11937, 6765
Drimmelen, 2012, 11943, 6839
Drimmelen, 2015, 11943, 6747
Dronten, 1996, 42386, 27088
Dronten, 2000, 42386, 26945
Dronten, 2003, 42386, 26789
Dronten, 2006, 42386, 26717
Dronten, 2008, 42386, 26485
Dronten, 2010, 42386, 26477
Dronten, 2012, 42389, 26583
Dronten, 2015, 42389, 26451
Druten, 1996, 4243, 2897
Druten, 2000, 4243, 2861
Druten, 2003, 4243, 2841
Druten, 2006, 4243, 2815
Druten, 2008, 4243, 2795
Druten, 2010, 4243, 2776
Druten, 2012, 4246, 2784
Druten, 2015, 4246, 2734
Duiven, 1996, 3515, 2523
Duiven, 2000, 3515, 2489
Duiven, 2003, 3515, 2370
Duiven, 2006, 3515, 2345
Duiven, 2008, 3515, 2322
Duiven, 2010, 3515, 2295
Duiven, 2012, 3519, 2304
Duiven, 2015, 3519, 2309
Echt-Susteren, 1996, NaN, NaN
Echt-Susteren, 2000, NaN, NaN
Echt-Susteren, 2003, 10380, 7283
Echt-Susteren, 2006, 10460, 7236
Echt-Susteren, 2008, 10460, 7237
Echt-Susteren, 2010, 10460, 7184
Echt-Susteren, 2012, 10462, 7143
Echt-Susteren, 2015, 10462, 7113
Edam-Volendam, 1996, 2478, 1010
Edam-Volendam, 2000, 2478, 1003
Edam-Volendam, 2003, 2478, 1006
Edam-Volendam, 2006, 2478, 995
Edam-Volendam, 2008, 2478, 994
Edam-Volendam, 2010, 2478, 953
Edam-Volendam, 2012, 2478, 947
Edam-Volendam, 2015, 2478, 942
Ede, 1996, 32048, 11824
Ede, 2000, 31868, 11493
Ede, 2003, 31868, 11413
Ede, 2006, 31868, 11327
Ede, 2008, 31868, 11230
Ede, 2010, 31868, 11209
Ede, 2012, 31862, 11030
Ede, 2015, 31862, 10976
Eemnes, 1996, 3367, 2649
Eemnes, 2000, 3367, 2597
Eemnes, 2003, 3367, 2581
Eemnes, 2006, 3367, 2577
Eemnes, 2008, 3367, 2560
Eemnes, 2010, 3367, 2554
Eemnes, 2012, 3370, 2539
Eemnes, 2015, 3370, 2546
Eemsmond, 1996, 55124, 15477
Eemsmond, 2000, 55124, 15423
Eemsmond, 2003, 55124, 15391
Eemsmond, 2006, 54336, 15392
Eemsmond, 2008, 54336, 15416
Eemsmond, 2010, 54336, 15359
Eemsmond, 2012, 54335, 15328
Eemsmond, 2015, 54335, 15363
Eersel, 1996, 3608, 2099
Eersel, 2000, 8328, 5203
Eersel, 2003, 8328, 5203
Eersel, 2006, 8328, 5163
Eersel, 2008, 8328, 5153
Eersel, 2010, 8328, 5129
Eersel, 2012, 8333, 5079
Eersel, 2015, 8333, 5047
Eijsden-Margraten, 1996, NaN, NaN
Eijsden-Margraten, 2000, NaN, NaN
Eijsden-Margraten, 2003, NaN, NaN
Eijsden-Margraten, 2006, NaN, NaN
Eijsden-Margraten, 2008, NaN, NaN
Eijsden-Margraten, 2010, NaN, NaN
Eijsden-Margraten, 2012, 7841, 6109
Eijsden-Margraten, 2015, 7841, 6096
Eindhoven, 1996, 8795, 1837
Eindhoven, 2000, 8827, 1463
Eindhoven, 2003, 8827, 1457
Eindhoven, 2006, 8884, 1302
Eindhoven, 2008, 8884, 1233
Eindhoven, 2010, 8884, 1242
Eindhoven, 2012, 8887, 1257
Eindhoven, 2015, 8887, 1258
Elburg, 1996, 6595, 3072
Elburg, 2000, 6595, 3070
Elburg, 2003, 6595, 3040
Elburg, 2006, 6595, 3017
Elburg, 2008, 6595, 3016
Elburg, 2010, 6595, 2995
Elburg, 2012, 6591, 2972
Elburg, 2015, 6591, 2963
Emmen, 1996, 28052, 20307
Emmen, 2000, 34629, 24497
Emmen, 2003, 34629, 24127
Emmen, 2006, 34629, 23934
Emmen, 2008, 34629, 23850
Emmen, 2010, 34629, 23662
Emmen, 2012, 34626, 23589
Emmen, 2015, 34626, 23549
Enkhuizen, 1996, 11604, 747
Enkhuizen, 2000, 11604, 698
Enkhuizen, 2003, 11604, 679
Enkhuizen, 2006, 11604, 688
Enkhuizen, 2008, 11604, 673
Enkhuizen, 2010, 11604, 682
Enkhuizen, 2012, 11625, 681
Enkhuizen, 2015, 11625, 677
Enschede, 1996, 14147, 7509
Enschede, 2000, 14147, 7298
Enschede, 2003, 14275, 7157
Enschede, 2006, 14275, 7008
Enschede, 2008, 14275, 6992
Enschede, 2010, 14275, 6929
Enschede, 2012, 14272, 6916
Enschede, 2015, 14272, 6913
Epe, 1996, 15725, 7156
Epe, 2000, 15725, 7153
Epe, 2003, 15725, 7075
Epe, 2006, 15725, 7012
Epe, 2008, 15725, 6993
Epe, 2010, 15725, 6901
Epe, 2012, 15737, 6885
Epe, 2015, 15737, 6837
Ermelo, 1996, 8738, 2105
Ermelo, 2000, 8738, 2089
Ermelo, 2003, 8738, 2095
Ermelo, 2006, 8738, 2076
Ermelo, 2008, 8738, 2064
Ermelo, 2010, 8738, 2047
Ermelo, 2012, 8733, 2044
Ermelo, 2015, 8733, 2005
Etten-Leur, 1996, 5897, 4600
Etten-Leur, 2000, 5588, 4081
Etten-Leur, 2003, 5588, 3978
Etten-Leur, 2006, 5588, 3931
Etten-Leur, 2008, 5588, 3933
Etten-Leur, 2010, 5588, 3877
Etten-Leur, 2012, 5592, 3852
Etten-Leur, 2015, 5592, 3829
Ferwerderadiel, 1996, NaN, NaN
Ferwerderadiel, 2000, 13318, 8434
Ferwerderadiel, 2003, 13318, 8279
Ferwerderadiel, 2006, 13318, 8286
Ferwerderadiel, 2008, 13318, 8276
Ferwerderadiel, 2010, 13318, 8256
Ferwerderadiel, 2012, 13318, 7992
Ferwerderadiel, 2015, 13318, 7963
Franekeradeel, 1996, 10916, 9251
Franekeradeel, 2000, 10916, 9192
Franekeradeel, 2003, 10916, 9162
Franekeradeel, 2006, 10916, 9150
Franekeradeel, 2008, 10916, 9145
Franekeradeel, 2010, 10916, 9050
Franekeradeel, 2012, 10917, 9054
Franekeradeel, 2015, 10917, 9166
De Friese Meren, 1996, NaN, NaN
De Friese Meren, 2000, NaN, NaN
De Friese Meren, 2003, NaN, NaN
De Friese Meren, 2006, NaN, NaN
De Friese Meren, 2008, NaN, NaN
De Friese Meren, 2010, NaN, NaN
De Friese Meren, 2012, NaN, NaN
De Friese Meren, 2015, 54910, 29262
Geertruidenberg, 1996, 552, 206
Geertruidenberg, 2000, 2986, 1647
Geertruidenberg, 2003, 2986, 1602
Geertruidenberg, 2006, 2986, 1600
Geertruidenberg, 2008, 2969, 1593
Geertruidenberg, 2010, 2969, 1579
Geertruidenberg, 2012, 2964, 1572
Geertruidenberg, 2015, 2964, 1574
Geldermalsen, 1996, 10167, 8036
Geldermalsen, 2000, 10167, 7956
Geldermalsen, 2003, 10167, 7800
Geldermalsen, 2006, 10167, 7772
Geldermalsen, 2008, 10167, 7835
Geldermalsen, 2010, 10167, 7808
Geldermalsen, 2012, 10173, 7834
Geldermalsen, 2015, 10173, 7786
Geldrop-Mierlo, 1996, NaN, NaN
Geldrop-Mierlo, 2000, NaN, NaN
Geldrop-Mierlo, 2003, NaN, NaN
Geldrop-Mierlo, 2006, 3139, 1095
Geldrop-Mierlo, 2008, 3139, 1079
Geldrop-Mierlo, 2010, 3139, 1080
Geldrop-Mierlo, 2012, 3139, 1045
Geldrop-Mierlo, 2015, 3139, 1040
Gemert-Bakel, 1996, NaN, NaN
Gemert-Bakel, 2000, 12336, 8123
Gemert-Bakel, 2003, 12336, 8137
Gemert-Bakel, 2006, 12336, 8120
Gemert-Bakel, 2008, 12336, 8077
Gemert-Bakel, 2010, 12336, 7898
Gemert-Bakel, 2012, 12334, 7844
Gemert-Bakel, 2015, 12334, 7821
Gennep, 1996, 5041, 3373
Gennep, 2000, 5040, 3345
Gennep, 2003, 5040, 3282
Gennep, 2006, 5040, 3249
Gennep, 2008, 5040, 3274
Gennep, 2010, 5040, 3231
Gennep, 2012, 5042, 3221
Gennep, 2015, 5042, 3197
Giessenlanden, 1996, 6512, 5791
Giessenlanden, 2000, 6512, 5753
Giessenlanden, 2003, 6512, 5723
Giessenlanden, 2006, 6512, 5738
Giessenlanden, 2008, 6512, 5716
Giessenlanden, 2010, 6512, 5702
Giessenlanden, 2012, 6511, 5684
Giessenlanden, 2015, 6511, 5684
Gilze en Rijen, 1996, 7112, 4384
Gilze en Rijen, 2000, 6567, 3830
Gilze en Rijen, 2003, 6567, 3796
Gilze en Rijen, 2006, 6567, 3755
Gilze en Rijen, 2008, 6567, 3748
Gilze en Rijen, 2010, 6567, 3703
Gilze en Rijen, 2012, 6566, 3654
Gilze en Rijen, 2015, 6566, 3694
Goeree-Overflakkee, 1996, NaN, NaN
Goeree-Overflakkee, 2000, NaN, NaN
Goeree-Overflakkee, 2003, NaN, NaN
Goeree-Overflakkee, 2006, NaN, NaN
Goeree-Overflakkee, 2008, NaN, NaN
Goeree-Overflakkee, 2010, NaN, NaN
Goeree-Overflakkee, 2012, NaN, NaN
Goeree-Overflakkee, 2015, 42235, 18285
Goes, 1996, 10208, 7223
Goes, 2000, 10204, 7165
Goes, 2003, 10204, 7067
Goes, 2006, 10209, 7064
Goes, 2008, 10209, 6972
Goes, 2010, 10209, 6962
Goes, 2012, 10192, 6962
Goes, 2015, 10192, 6893
Goirle, 1996, 2570, 1090
Goirle, 2000, 4219, 2460
Goirle, 2003, 4224, 2452
Goirle, 2006, 4224, 2434
Goirle, 2008, 4224, 2447
Goirle, 2010, 4224, 2443
Goirle, 2012, 4235, 2425
Goirle, 2015, 4235, 2382
Gorinchem, 1996, 2199, 921
Gorinchem, 2000, 2199, 879
Gorinchem, 2003, 2199, 806
Gorinchem, 2006, 2199, 811
Gorinchem, 2008, 2199, 782
Gorinchem, 2010, 2199, 750
Gorinchem, 2012, 2193, 718
Gorinchem, 2015, 2193, 735
Gouda, 1996, 1810, 408
Gouda, 2000, 1810, 396
Gouda, 2003, 1810, 364
Gouda, 2006, 1810, 351
Gouda, 2008, 1810, 353
Gouda, 2010, 1810, 345
Gouda, 2012, 1811, 338
Gouda, 2015, 1811, 308
Grave, 1996, 2804, 2058
Grave, 2000, 2804, 2040
Grave, 2003, 2804, 2051
Grave, 2006, 2804, 2045
Grave, 2008, 2804, 2044
Grave, 2010, 2804, 2049
Grave, 2012, 2803, 2035
Grave, 2015, 2803, 2041
's-Gravenhage (gemeente), 1996, 8261, 431
's-Gravenhage (gemeente), 2000, 8261, 279
's-Gravenhage (gemeente), 2003, 9822, 353
's-Gravenhage (gemeente), 2006, 9820, 261
's-Gravenhage (gemeente), 2008, 9820, 242
's-Gravenhage (gemeente), 2010, 9818, 253
's-Gravenhage (gemeente), 2012, 9814, 212
's-Gravenhage (gemeente), 2015, 9813, 164
Groesbeek, 1996, 4411, 2243
Groesbeek, 2000, 4412, 2236
Groesbeek, 2003, 4412, 2420
Groesbeek, 2006, 4412, 2210
Groesbeek, 2008, 4412, 2199
Groesbeek, 2010, 4412, 2163
Groesbeek, 2012, 4415, 2169
Groesbeek, 2015, 9331, 4967
Groningen (gemeente), 1996, 8276, 3369
Groningen (gemeente), 2000, 8369, 3095
Groningen (gemeente), 2003, 8369, 2903
Groningen (gemeente), 2006, 8369, 2888
Groningen (gemeente), 2008, 8369, 2815
Groningen (gemeente), 2010, 8372, 2758
Groningen (gemeente), 2012, 8375, 2680
Groningen (gemeente), 2015, 8375, 2783
Grootegast, 1996, 8778, 8055
Grootegast, 2000, 8778, 7997
Grootegast, 2003, 8778, 7960
Grootegast, 2006, 8778, 7884
Grootegast, 2008, 8778, 7888
Grootegast, 2010, 8777, 7878
Grootegast, 2012, 8774, 7867
Grootegast, 2015, 8774, 7888
Gulpen-Wittem, 1996, NaN, NaN
Gulpen-Wittem, 2000, 7337, 5927
Gulpen-Wittem, 2003, 7337, 5888
Gulpen-Wittem, 2006, 7337, 5876
Gulpen-Wittem, 2008, 7337, 5876
Gulpen-Wittem, 2010, 7337, 5845
Gulpen-Wittem, 2012, 7336, 5868
Gulpen-Wittem, 2015, 7336, 5859
Haaksbergen, 1996, 10550, 7472
Haaksbergen, 2000, 10548, 7415
Haaksbergen, 2003, 10548, 7348
Haaksbergen, 2006, 10548, 7263
Haaksbergen, 2008, 10548, 7259
Haaksbergen, 2010, 10548, 7226
Haaksbergen, 2012, 10550, 7203
Haaksbergen, 2015, 10550, 7169
Haaren, 1996, 4975, 3602
Haaren, 2000, 5853, 4245
Haaren, 2003, 5853, 4243
Haaren, 2006, 5853, 4230
Haaren, 2008, 5853, 4230
Haaren, 2010, 5853, 4219
Haaren, 2012, 5856, 4193
Haaren, 2015, 5856, 4165
Haarlem, 1996, 3211, 464
Haarlem, 2000, 3211, 435
Haarlem, 2003, 3211, 439
Haarlem, 2006, 3212, 440
Haarlem, 2008, 3212, 440
Haarlem, 2010, 3209, 443
Haarlem, 2012, 3209, 426
Haarlem, 2015, 3209, 418
Haarlemmerliede en Spaarnwoude, 1996, 2758, 1233
Haarlemmerliede en Spaarnwoude, 2000, 2108, 1172
Haarlemmerliede en Spaarnwoude, 2003, 2108, 1173
Haarlemmerliede en Spaarnwoude, 2006, 2108, 1171
Haarlemmerliede en Spaarnwoude, 2008, 2108, 1162
Haarlemmerliede en Spaarnwoude, 2010, 2108, 1170
Haarlemmerliede en Spaarnwoude, 2012, 2119, 1161
Haarlemmerliede en Spaarnwoude, 2015, 2119, 1148
Haarlemmermeer, 1996, 18528, 13145
Haarlemmermeer, 2000, 18528, 11827
Haarlemmermeer, 2003, 18528, 11428
Haarlemmermeer, 2006, 18528, 11462
Haarlemmermeer, 2008, 18528, 11333
Haarlemmermeer, 2010, 18528, 11100
Haarlemmermeer, 2012, 18529, 10733
Haarlemmermeer, 2015, 18513, 10479
Halderberge, 1996, NaN, NaN
Halderberge, 2000, 7524, 6004
Halderberge, 2003, 7524, 5990
Halderberge, 2006, 7524, 5935
Halderberge, 2008, 7524, 5879
Halderberge, 2010, 7524, 5834
Halderberge, 2012, 7521, 5802
Halderberge, 2015, 7521, 5789
Hardenberg, 1996, 18419, 14828
Hardenberg, 2000, 18417, 14697
Hardenberg, 2003, 31724, 25861
Hardenberg, 2006, 31724, 25753
Hardenberg, 2008, 31724, 25725
Hardenberg, 2010, 31724, 25651
Hardenberg, 2012, 31715, 25501
Hardenberg, 2015, 31715, 25449
Harderwijk, 1996, 4827, 1077
Harderwijk, 2000, 4827, 1065
Harderwijk, 2003, 4827, 1001
Harderwijk, 2006, 4827, 980
Harderwijk, 2008, 4827, 892
Harderwijk, 2010, 4827, 871
Harderwijk, 2012, 4827, 873
Harderwijk, 2015, 4827, 867
Hardinxveld-Giessendam, 1996, 1935, 1130
Hardinxveld-Giessendam, 2000, 1935, 1108
Hardinxveld-Giessendam, 2003, 1935, 1090
Hardinxveld-Giessendam, 2006, 1935, 1106
Hardinxveld-Giessendam, 2008, 1935, 1099
Hardinxveld-Giessendam, 2010, 1935, 1105
Hardinxveld-Giessendam, 2012, 1935, 1092
Hardinxveld-Giessendam, 2015, 1935, 1069
Haren, 1996, 5070, 3290
Haren, 2000, 5070, 3261
Haren, 2003, 5070, 3220
Haren, 2006, 5070, 3219
Haren, 2008, 5070, 3204
Haren, 2010, 5070, 3192
Haren, 2012, 5073, 2888
Haren, 2015, 5073, 2786
Harlingen, 1996, 38767, 1893
Harlingen, 2000, 38767, 1849
Harlingen, 2003, 38767, 1764
Harlingen, 2006, 38767, 1701
Harlingen, 2008, 38767, 1699
Harlingen, 2010, 38767, 1696
Harlingen, 2012, 38767, 1672
Harlingen, 2015, 38767, 1676
Hattem, 1996, 2420, 1303
Hattem, 2000, 2420, 1299
Hattem, 2003, 2420, 1288
Hattem, 2006, 2420, 1289
Hattem, 2008, 2420, 1282
Hattem, 2010, 2420, 1260
Hattem, 2012, 2416, 1251
Hattem, 2015, 2416, 1253
Heemskerk, 1996, 3176, 867
Heemskerk, 2000, 3176, 839
Heemskerk, 2003, 3176, 696
Heemskerk, 2006, 3173, 675
Heemskerk, 2008, 3173, 668
Heemskerk, 2010, 3173, 667
Heemskerk, 2012, 3168, 661
Heemskerk, 2015, 3168, 666
Heemstede, 1996, 964, 156
Heemstede, 2000, 964, 157
Heemstede, 2003, 964, 155
Heemstede, 2006, 964, 157
Heemstede, 2008, 964, 155
Heemstede, 2010, 964, 155
Heemstede, 2012, 964, 156
Heemstede, 2015, 964, 151
Heerde, 1996, 8039, 4052
Heerde, 2000, 8039, 4040
Heerde, 2003, 8039, 4022
Heerde, 2006, 8039, 3995
Heerde, 2008, 8039, 3993
Heerde, 2010, 8039, 3992
Heerde, 2012, 8042, 3975
Heerde, 2015, 8042, 3909
Heerenveen, 1996, 14015, 10452
Heerenveen, 2000, 14015, 10187
Heerenveen, 2003, 14015, 10164
Heerenveen, 2006, 14015, 10057
Heerenveen, 2008, 14015, 9992
Heerenveen, 2010, 14015, 9939
Heerenveen, 2012, 14007, 9976
Heerenveen, 2015, 19816, 14602
Heerhugowaard, 1996, 3997, 2689
Heerhugowaard, 2000, 3997, 2558
Heerhugowaard, 2003, 3997, 2455
Heerhugowaard, 2006, 3997, 2244
Heerhugowaard, 2008, 3997, 2227
Heerhugowaard, 2010, 3997, 2196
Heerhugowaard, 2012, 3999, 2159
Heerhugowaard, 2015, 3999, 2111
Heerlen, 1996, 4539, 1033
Heerlen, 2000, 4550, 906
Heerlen, 2003, 4550, 877
Heerlen, 2006, 4550, 848
Heerlen, 2008, 4550, 793
Heerlen, 2010, 4550, 799
Heerlen, 2012, 4553, 799
Heerlen, 2015, 4553, 766
Heeze-Leende, 1996, NaN, NaN
Heeze-Leende, 2000, 10512, 4450
Heeze-Leende, 2003, 10512, 4425
Heeze-Leende, 2006, 10512, 4415
Heeze-Leende, 2008, 10512, 4403
Heeze-Leende, 2010, 10512, 4408
Heeze-Leende, 2012, 10504, 4401
Heeze-Leende, 2015, 10504, 4415
Heiloo, 1996, 2146, 1248
Heiloo, 2000, 1899, 1037
Heiloo, 2003, 1899, 1006
Heiloo, 2006, 1899, 1005
Heiloo, 2008, 1899, 977
Heiloo, 2010, 1899, 978
Heiloo, 2012, 1901, 978
Heiloo, 2015, 1901, 966
Den Helder, 1996, 17883, 2042
Den Helder, 2000, 17883, 1975
Den Helder, 2003, 17883, 1867
Den Helder, 2006, 17883, 1761
Den Helder, 2008, 17883, 1756
Den Helder, 2010, 17883, 1789
Den Helder, 2012, 17880, 1740
Den Helder, 2015, 17880, 1715
Hellendoorn, 1996, 13866, 8324
Hellendoorn, 2000, 13866, 8265
Hellendoorn, 2003, 13864, 8253
Hellendoorn, 2006, 13903, 8259
Hellendoorn, 2008, 13903, 8238
Hellendoorn, 2010, 13903, 8204
Hellendoorn, 2012, 13899, 8173
Hellendoorn, 2015, 13899, 8135
Hellevoetsluis, 1996, 4614, 1987
Hellevoetsluis, 2000, 4614, 1972
Hellevoetsluis, 2003, 4614, 1903
Hellevoetsluis, 2006, 4614, 1885
Hellevoetsluis, 2008, 4614, 1884
Hellevoetsluis, 2010, 4614, 1858
Hellevoetsluis, 2012, 4627, 1855
Hellevoetsluis, 2015, 4627, 1817
Helmond, 1996, 5062, 1798
Helmond, 2000, 5456, 1723
Helmond, 2003, 5456, 1671
Helmond, 2006, 5456, 1616
Helmond, 2008, 5456, 1577
Helmond, 2010, 5456, 1538
Helmond, 2012, 5475, 1521
Helmond, 2015, 5475, 1496
Hendrik-Ido-Ambacht, 1996, 1199, 565
Hendrik-Ido-Ambacht, 2000, 1199, 528
Hendrik-Ido-Ambacht, 2003, 1199, 421
Hendrik-Ido-Ambacht, 2006, 1199, 314
Hendrik-Ido-Ambacht, 2008, 1199, 298
Hendrik-Ido-Ambacht, 2010, 1199, 296
Hendrik-Ido-Ambacht, 2012, 1190, 316
Hendrik-Ido-Ambacht, 2015, 1190, 324
Hengelo (O.), 1996, 6453, 2999
Hengelo (O.), 2000, 6453, 2869
Hengelo (O.), 2003, 6178, 2655
Hengelo (O.), 2006, 6178, 2630
Hengelo (O.), 2008, 6178, 2624
Hengelo (O.), 2010, 6178, 2535
Hengelo (O.), 2012, 6183, 2519
Hengelo (O.), 2015, 6183, 2519
's-Hertogenbosch, 1996, 9046, 4104
's-Hertogenbosch, 2000, 9126, 3937
's-Hertogenbosch, 2003, 9126, 3766
's-Hertogenbosch, 2006, 9126, 3588
's-Hertogenbosch, 2008, 9126, 3468
's-Hertogenbosch, 2010, 9126, 3415
's-Hertogenbosch, 2012, 9179, 3477
's-Hertogenbosch, 2015, 11807, 5482
Heumen, 1996, 4158, 2440
Heumen, 2000, 4158, 2376
Heumen, 2003, 4158, 2368
Heumen, 2006, 4158, 2374
Heumen, 2008, 4158, 2367
Heumen, 2010, 4158, 2354
Heumen, 2012, 4154, 2340
Heumen, 2015, 4154, 2348
Heusden, 1996, 2172, 1652
Heusden, 2000, 8118, 4838
Heusden, 2003, 8118, 4814
Heusden, 2006, 8118, 4738
Heusden, 2008, 8118, 4723
Heusden, 2010, 8118, 4714
Heusden, 2012, 8122, 4705
Heusden, 2015, 8122, 4685
Hillegom, 1996, 1348, 815
Hillegom, 2000, 1348, 797
Hillegom, 2003, 1348, 793
Hillegom, 2006, 1348, 778
Hillegom, 2008, 1348, 755
Hillegom, 2010, 1348, 748
Hillegom, 2012, 1348, 747
Hillegom, 2015, 1347, 748
Hilvarenbeek, 1996, 6818, 3700
Hilvarenbeek, 2000, 9679, 5938
Hilvarenbeek, 2003, 9679, 5891
Hilvarenbeek, 2006, 9648, 5863
Hilvarenbeek, 2008, 9648, 5846
Hilvarenbeek, 2010, 9648, 5819
Hilvarenbeek, 2012, 9651, 5720
Hilvarenbeek, 2015, 9651, 5670
Hilversum, 1996, 4624, 684
Hilversum, 2000, 4624, 580
Hilversum, 2003, 4624, 582
Hilversum, 2006, 4624, 582
Hilversum, 2008, 4624, 584
Hilversum, 2010, 4645, 598
Hilversum, 2012, 4635, 626
